thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,fixation.stopped,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,[-0.23828125],[0.44140625],[1],[0],[0],[2.601060300017707],['target'],0,0,0,0,0.06895200000144541,,5,0.04863679996924475,0.06895200000144541,0.06895200000144541,0.04824859998188913,1.0825186999863945,2.6503698999877088,[-0.23828125],[0.44140625],[1],[0],[0],[2.601060300017707],['target'],260865,001,2024-10-10_16h37.30.912,script,2024.2.1post4,60.10959180954964,2024-10-10 16h37.48.803722 +0530,
1,0,1,[0.09375],[0.055989583333333336],[1],[0],[0],[1.6401774999685585],['target'],1,0,1,0,2.7297004999709316,,10,2.7067837999784388,2.7297004999709316,2.7297004999709316,0.05619689996819943,3.7324095999938436,4.347578799992334,[0.09375],[0.055989583333333336],[1],[0],[0],[1.6401774999685585],['target'],260865,001,2024-10-10_16h37.30.912,script,2024.2.1post4,60.10959180954964,2024-10-10 16h37.48.803722 +0530,
2,0,2,[0.02734375],[0.046875],[1],[0],[0],[1.3594622999662533],['target'],2,0,2,0,4.391741900006309,,5,4.375876799982507,4.391741900006309,4.391741900006309,0.028005800035316497,5.399091099970974,5.736018800002057,[0.02734375],[0.046875],[1],[0],[0],[1.3594622999662533],['target'],260865,001,2024-10-10_16h37.30.912,script,2024.2.1post4,60.10959180954964,2024-10-10 16h37.48.803722 +0530,
3,0,3,[0.4140625],[0.32421875],[1],[0],[0],[1.8598175999941304],['target'],3,0,3,0,5.8314889000030234,,10,5.807998600008432,5.8314889000030234,5.8314889000030234,0.07177679997403175,6.83234129997436,7.668406099954154,[0.4140625],[0.32421875],[1],[0],[0],[1.8598175999941304],['target'],260865,001,2024-10-10_16h37.30.912,script,2024.2.1post4,60.10959180954964,2024-10-10 16h37.48.803722 +0530,
4,0,4,[0.4049479166666667],[-0.24088541666666666],[1],[0],[0],[2.2812440000125207],['target'],4,0,4,0,7.742119900009129,,10,7.719884299964178,7.742119900009129,7.742119900009129,0.05118799995398149,8.74882419995265,10.001940999994986,[0.4049479166666667],[-0.24088541666666666],[1],[0],[0],[2.2812440000125207],['target'],260865,001,2024-10-10_16h37.30.912,script,2024.2.1post4,60.10959180954964,2024-10-10 16h37.48.803722 +0530,
5,0,5,[-0.009114583333333334],[-0.2734375],[1],[0],[0],[1.5157523999805562],['target'],5,0,5,0,10.091829099983443,,10,10.068965999991633,10.091829099983443,10.091829099983443,0.06676409998908639,11.099381599982735,11.585495999956038,[-0.009114583333333334],[-0.2734375],[1],[0],[0],[1.5157523999805562],['target'],260865,001,2024-10-10_16h37.30.912,script,2024.2.1post4,60.10959180954964,2024-10-10 16h37.48.803722 +0530,
6,0,6,[-0.3958333333333333],[-0.16145833333333334],[1],[0],[0],[0.9707614999497309],['target'],6,0,6,0,11.628362099989317,,5,11.613589799962938,11.628362099989317,11.628362099989317,0.027889199962373823,,12.58490229997551,[-0.3958333333333333],[-0.16145833333333334],[1],[0],[0],[0.9707614999497309],['target'],260865,001,2024-10-10_16h37.30.912,script,2024.2.1post4,60.10959180954964,2024-10-10 16h37.48.803722 +0530,
7,0,7,[-0.0546875],[0.38671875],[1],[0],[0],[1.864110000024084],['target'],7,0,7,0,12.678253699967172,,10,12.653580799989868,12.678253699967172,12.678253699967172,0.0684643000131473,13.682456299953628,14.518357199965976,[-0.0546875],[0.38671875],[1],[0],[0],[1.864110000024084],['target'],260865,001,2024-10-10_16h37.30.912,script,2024.2.1post4,60.10959180954964,2024-10-10 16h37.48.803722 +0530,
8,0,8,[-0.14973958333333334],[0.3098958333333333],[1],[0],[0],[1.1145737000042573],['target'],8,0,8,0,14.591969000000972,,10,14.569606099976227,14.591969000000972,14.591969000000972,0.05097630003001541,15.59842789999675,15.684775099973194,[-0.14973958333333334],[0.3098958333333333],[1],[0],[0],[1.1145737000042573],['target'],260865,001,2024-10-10_16h37.30.912,script,2024.2.1post4,60.10959180954964,2024-10-10 16h37.48.803722 +0530,
9,0,9,[-0.07421875],[-0.20703125],[1],[0],[0],[1.1016884000273421],['target'],9,0,9,0,15.772394599975087,,10,15.749865199963097,15.772394599975087,15.772394599975087,0.06478999997489154,16.782326499989722,16.852270299976226,[-0.07421875],[-0.20703125],[1],[0],[0],[1.1016884000273421],['target'],260865,001,2024-10-10_16h37.30.912,script,2024.2.1post4,60.10959180954964,2024-10-10 16h37.48.803722 +0530,
10,0,10,[0.2513020833333333],[-0.4479166666666667],[1],[0],[0],[1.641742100007832],['target'],10,0,10,0,16.907966699975077,,5,16.89249539998127,16.907966699975077,16.907966699975077,0.03999149997252971,17.915091799979564,18.535084299976006,[0.2513020833333333],[-0.4479166666666667],[1],[0],[0],[1.641742100007832],['target'],260865,001,2024-10-10_16h37.30.912,script,2024.2.1post4,60.10959180954964,2024-10-10 16h37.48.803722 +0530,
11,0,11,[0.22395833333333334],[-0.10807291666666667],[1],[0],[0],[1.826718800002709],['target'],11,0,11,0,18.615929799969308,,10,18.59060459997272,18.615929799969308,18.615929799969308,0.05530639999778941,19.615083699987736,20.418043399986345,[0.22395833333333334],[-0.10807291666666667],[1],[0],[0],[1.826718800002709],['target'],260865,001,2024-10-10_16h37.30.912,script,2024.2.1post4,60.10959180954964,2024-10-10 16h37.48.803722 +0530,
12,0,12,[0.3919270833333333],[-0.4192708333333333],[1],[0],[0],[1.2559766999911517],['target'],12,0,12,0,20.460540400003083,,5,20.44504079996841,20.460540400003083,20.460540400003083,0.02666600001975894,21.464882400003262,21.70178719999967,[0.3919270833333333],[-0.4192708333333333],[1],[0],[0],[1.2559766999911517],['target'],260865,001,2024-10-10_16h37.30.912,script,2024.2.1post4,60.10959180954964,2024-10-10 16h37.48.803722 +0530,
13,0,13,[-0.10286458333333333],[0.4609375],[1],[0],[0],[1.6117625000188127],['target'],13,0,13,0,21.778980100003537,,10,21.75529349996941,21.778980100003537,21.778980100003537,0.053316400037147105,22.781560899980832,23.367718199966475,[-0.10286458333333333],[0.4609375],[1],[0],[0],[1.6117625000188127],['target'],260865,001,2024-10-10_16h37.30.912,script,2024.2.1post4,60.10959180954964,2024-10-10 16h37.48.803722 +0530,
14,0,14,[-0.29296875],[0.10677083333333333],[1],[0],[0],[1.2593111000023782],['target'],14,0,14,0,23.45019369997317,,10,23.424525599984918,23.45019369997317,23.45019369997317,0.056524100014939904,24.46473639999749,24.684539199981373,[-0.29296875],[0.10677083333333333],[1],[0],[0],[1.2593111000023782],['target'],260865,001,2024-10-10_16h37.30.912,script,2024.2.1post4,60.10959180954964,2024-10-10 16h37.48.803722 +0530,
15,0,15,[0.4674479166666667],[0.0546875],[1],[0],[0],[1.9693056999822147],['target'],15,0,15,0,24.768328099977225,,10,24.74378129997058,24.768328099977225,24.768328099977225,0.05886079999618232,25.781821299984585,26.713725599984173,[0.4674479166666667],[0.0546875],[1],[0],[0],[1.9693056999822147],['target'],260865,001,2024-10-10_16h37.30.912,script,2024.2.1post4,60.10959180954964,2024-10-10 16h37.48.803722 +0530,
16,0,16,[0.20833333333333334],[0.2682291666666667],[1],[0],[0],[1.2462157999980263],['target'],16,0,16,0,26.7938910999801,,10,26.76987650000956,26.7938910999801,26.7938910999801,0.055820300010964274,27.798499599972274,28.02487129997462,[0.20833333333333334],[0.2682291666666667],[1],[0],[0],[1.2462157999980263],['target'],260865,001,2024-10-10_16h37.30.912,script,2024.2.1post4,60.10959180954964,2024-10-10 16h37.48.803722 +0530,
17,0,17,[0.2877604166666667],[-0.09635416666666667],[1],[0],[0],[1.5997020999784581],['target'],17,0,17,0,28.12913109996589,,10,28.100545199995395,28.12913109996589,28.12913109996589,0.07533939997665584,29.13143319997471,29.700990199984517,[0.2877604166666667],[-0.09635416666666667],[1],[0],[0],[1.5997020999784581],['target'],260865,001,2024-10-10_16h37.30.912,script,2024.2.1post4,60.10959180954964,2024-10-10 16h37.48.803722 +0530,
18,0,18,[-0.359375],[0.0390625],[1],[0],[0],[2.167501199990511],[None],18,0,18,0,29.795922599965706,,10,29.765644699975383,29.795922599965706,29.795922599965706,0.06430409994209185,30.797667799983174,31.9337957999669,[-0.359375],[0.0390625],[1],[0],[0],[2.167501199990511],[None],260865,001,2024-10-10_16h37.30.912,script,2024.2.1post4,60.10959180954964,2024-10-10 16h37.48.803722 +0530,
19,0,19,[-0.47265625],[0.13802083333333334],[1],[0],[0],[1.3512101999949664],['target'],19,0,19,0,31.987680899968836,,5,31.96561529999599,31.987680899968836,31.987680899968836,0.031521800032351166,32.997681999986526,33.31749929999933,[-0.47265625],[0.13802083333333334],[1],[0],[0],[1.3512101999949664],['target'],260865,001,2024-10-10_16h37.30.912,script,2024.2.1post4,60.10959180954964,2024-10-10 16h37.48.803722 +0530,
20,0,20,[-0.17578125],[0.4153645833333333],[1],[0],[0],[1.3270111000165343],['target'],20,0,20,0,33.39912179997191,,10,33.37284579995321,33.39912179997191,33.39912179997191,0.05511849996400997,34.41439619997982,34.700675899977796,[-0.17578125],[0.4153645833333333],[1],[0],[0],[1.3270111000165343],['target'],260865,001,2024-10-10_16h37.30.912,script,2024.2.1post4,60.10959180954964,2024-10-10 16h37.48.803722 +0530,
21,0,21,[-0.4778645833333333],[0.3333333333333333],[1],[0],[0],[1.3594137000036426],['target'],21,0,21,0,34.75672679999843,,5,34.740879599994514,34.75672679999843,34.75672679999843,0.039962499984540045,35.76430310000433,36.10088609997183,[-0.4778645833333333],[0.3333333333333333],[1],[0],[0],[1.3594137000036426],['target'],260865,001,2024-10-10_16h37.30.912,script,2024.2.1post4,60.10959180954964,2024-10-10 16h37.48.803722 +0530,
22,0,22,[0.4830729166666667],[0.25],[1],[0],[0],[1.6583816000493243],['target'],22,0,22,0,36.18434449995402,,10,36.15735900000436,36.18434449995402,36.18434449995402,0.05623529996955767,37.19794789998559,37.81639079999877,[0.4830729166666667],[0.25],[1],[0],[0],[1.6583816000493243],['target'],260865,001,2024-10-10_16h37.30.912,script,2024.2.1post4,60.10959180954964,2024-10-10 16h37.48.803722 +0530,
23,0,23,[-0.3255208333333333],[0.3606770833333333],[1],[0],[0],[1.0588885999750346],['target'],23,0,23,0,37.87357609998435,,5,37.857606899982784,37.87357609998435,37.87357609998435,0.04092180001316592,38.880855299998075,38.91710169997532,[-0.3255208333333333],[0.3606770833333333],[1],[0],[0],[1.0588885999750346],['target'],260865,001,2024-10-10_16h37.30.912,script,2024.2.1post4,60.10959180954964,2024-10-10 16h37.48.803722 +0530,
24,0,24,[-0.46484375],[0.4166666666666667],[1],[0],[0],[1.0439502999652177],['target'],24,0,24,0,38.996306299988646,,10,38.971484799985774,38.996306299988646,38.996306299988646,0.054126599978189915,39.99745809996966,40.01605609996477,[-0.46484375],[0.4166666666666667],[1],[0],[0],[1.0439502999652177],['target'],260865,001,2024-10-10_16h37.30.912,script,2024.2.1post4,60.10959180954964,2024-10-10 16h37.48.803722 +0530,
25,0,25,[-0.3489583333333333],[0.0026041666666666665],[1],[0],[0],[1.2767405999475159],['target'],25,0,25,0,40.072490599995945,,5,40.05669939995278,40.072490599995945,40.072490599995945,0.04039460001513362,41.081247699970845,41.334117499995045,[-0.3489583333333333],[0.0026041666666666665],[1],[0],[0],[1.2767405999475159],['target'],260865,001,2024-10-10_16h37.30.912,script,2024.2.1post4,60.10959180954964,2024-10-10 16h37.48.803722 +0530,
26,0,26,[0.4869791666666667],[0.15625],[1],[0],[0],[3.5429415999678895],['target'],26,0,26,0,41.41483069997048,,10,41.38937809999334,41.41483069997048,41.41483069997048,0.055090999987442046,42.414507399953436,44.93298399995547,[0.4869791666666667],[0.15625],[1],[0],[0],[3.5429415999678895],['target'],260865,001,2024-10-10_16h37.30.912,script,2024.2.1post4,60.10959180954964,2024-10-10 16h37.48.803722 +0530,
27,0,27,[0.022135416666666668],[0.16666666666666666],[1],[0],[0],[0.9918961999937892],['target'],27,0,27,0,44.990823599975556,,5,44.97385069995653,44.990823599975556,44.990823599975556,0.04060589999426156,,45.966377099975944,[0.022135416666666668],[0.16666666666666666],[1],[0],[0],[0.9918961999937892],['target'],260865,001,2024-10-10_16h37.30.912,script,2024.2.1post4,60.10959180954964,2024-10-10 16h37.48.803722 +0530,
28,0,28,[-0.4908854166666667],[0.30859375],[1],[0],[0],[1.349439200013876],['target'],28,0,28,0,46.01888499996858,,5,45.99945929995738,46.01888499996858,46.01888499996858,0.032847800001036376,47.03038819995709,47.349674900004175,[-0.4908854166666667],[0.30859375],[1],[0],[0],[1.349439200013876],['target'],260865,001,2024-10-10_16h37.30.912,script,2024.2.1post4,60.10959180954964,2024-10-10 16h37.48.803722 +0530,
29,0,29,[-0.059895833333333336],[-0.10026041666666667],[1],[0],[0],[4.929882500029635],['target'],29,0,29,0,47.445040499966126,,10,47.418518499995116,47.445040499966126,47.445040499966126,0.0686369999893941,48.44706999999471,52.34929159999592,[-0.059895833333333336],[-0.10026041666666667],[1],[0],[0],[4.929882500029635],['target'],260865,001,2024-10-10_16h37.30.912,script,2024.2.1post4,60.10959180954964,2024-10-10 16h37.48.803722 +0530,
30,0,30,[0.026041666666666668],[0.018229166666666668],[1],[0],[0],[1.8917660000151955],['target'],30,0,30,0,52.38888629997382,,5,52.37413769995328,52.38888629997382,52.38888629997382,0.024577899952419102,53.3969492999604,54.266573400003836,[0.026041666666666668],[0.018229166666666668],[1],[0],[0],[1.8917660000151955],['target'],260865,001,2024-10-10_16h37.30.912,script,2024.2.1post4,60.10959180954964,2024-10-10 16h37.48.803722 +0530,
31,0,31,[-0.05078125],[0.4596354166666667],[1],[0],[0],[2.59754950000206],['target'],31,0,31,0,54.359716499981005,,10,54.334770099958405,54.359716499981005,54.359716499981005,0.06801449996419251,55.36375509999925,56.93297500000335,[-0.05078125],[0.4596354166666667],[1],[0],[0],[2.59754950000206],['target'],260865,001,2024-10-10_16h37.30.912,script,2024.2.1post4,60.10959180954964,2024-10-10 16h37.48.803722 +0530,
