study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test,reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,T.started,text_2.started,textbox.started,text_3.started,mouse.started,T.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
book,0,0,0,1.619791667,1.3584257,,,,,,,,,,,,0,0,0,0,,,,,0.0960375,,0.0252435,0.0960375,0.0960375,1.399028,1.619791667,1.3584257,,,,,,,,,,,,,,,400854,1,2024-10-27_19h43.24.845,word priming,2024.2.1post4,59.83180084,2024-10-27 19h43.40.200426 +0530
board,1,1,0,1.015625,0.9981991,,,,,,,,,,,,0,1,1,4,,,,,1.4246997,,1.409063,1.4246997,1.4246997,2.4242447,1.015625,0.9981991,,,,,,,,,,,,,,,400854,1,2024-10-27_19h43.24.845,word priming,2024.2.1post4,59.83180084,2024-10-27 19h43.40.200426 +0530
mouse,2,2,0,1.015625,0.595052,,,,,,,,,,,,0,2,2,8,,,,,2.4489921,,2.4327046,2.4489921,2.4489921,3.0443418,1.015625,0.595052,,,,,,,,,,,,,,,400854,1,2024-10-27_19h43.24.845,word priming,2024.2.1post4,59.83180084,2024-10-27 19h43.40.200426 +0530
case,3,3,0,1.015625,0.6704089,,,,,,,,,,,,0,3,3,10,,,,,3.0634371,,3.0489669,3.0634371,3.0634371,3.7343275,1.015625,0.6704089,,,,,,,,,,,,,,,400854,1,2024-10-27_19h43.24.845,word priming,2024.2.1post4,59.83180084,2024-10-27 19h43.40.200426 +0530
keys,4,4,0,4.354166667,0.8548013,,,,,,,,,,,,0,4,4,13,,,,,3.755961,,3.7406339,3.755961,3.755961,4.611794,4.354166667,0.8548013,,,,,,,,,,,,,,,400854,1,2024-10-27_19h43.24.845,word priming,2024.2.1post4,59.83180084,2024-10-27 19h43.40.200426 +0530
chart,5,5,0,1.072916667,1.1813022,,,,,,,,,,,,0,5,5,6,,,,,4.6353144,,4.61995,4.6353144,4.6353144,5.8164295,1.072916667,1.1813022,,,,,,,,,,,,,,,400854,1,2024-10-27_19h43.24.845,word priming,2024.2.1post4,59.83180084,2024-10-27 19h43.40.200426 +0530
pastry,6,6,0,1.072916667,0.6349934,,,,,,,,,,,,0,6,6,9,,,,,5.8387843,,5.8234927,5.8387843,5.8387843,6.4747752,1.072916667,0.6349934,,,,,,,,,,,,,,,400854,1,2024-10-27_19h43.24.845,word priming,2024.2.1post4,59.83180084,2024-10-27 19h43.40.200426 +0530
marble,7,7,0,1.083333333,0.669243,,,,,,,,,,,,0,7,7,3,,,,,6.4956893,,6.479553,6.4956893,6.4956893,7.1655783,1.083333333,0.669243,,,,,,,,,,,,,,,400854,1,2024-10-27_19h43.24.845,word priming,2024.2.1post4,59.83180084,2024-10-27 19h43.40.200426 +0530
cushion,8,8,0,1.083333333,0.7391897,,,,,,,,,,,,0,8,8,1,,,,,7.1890084,,7.1733867,7.1890084,7.1890084,7.9293823,1.083333333,0.7391897,,,,,,,,,,,,,,,400854,1,2024-10-27_19h43.24.845,word priming,2024.2.1post4,59.83180084,2024-10-27 19h43.40.200426 +0530
laptop,9,9,0,4.21875,1.3274964,,,,,,,,,,,,0,9,9,5,,,,,7.9499882,,7.9348906,7.9499882,7.9499882,9.2789221,4.21875,1.3274964,,,,,,,,,,,,,,,400854,1,2024-10-27_19h43.24.845,word priming,2024.2.1post4,59.83180084,2024-10-27 19h43.40.200426 +0530
