11.6052 	INFO 	Loaded monitor calibration from ['2024_08_09 11:02']
11.6307 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1366, 768]. Using actual size
13.5907 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000026074D28EE0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000026074D29450>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000026074D29E70>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000026001F886D0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1366,  768]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
13.5909 	EXP 	window1: backgroundImage = ''
13.5909 	EXP 	window1: backgroundFit = 'none'
13.5914 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000026074D29ED0>
13.5916 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000026074D29ED0>
13.5989 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000026074D29ED0>
13.6003 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000026074D29ED0>
13.6972 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000026074D29ED0>
13.6974 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000026074D29ED0>
13.6989 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000026074D29ED0>
13.7003 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000026074D29ED0>
13.7667 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
13.7668 	EXP 	window1: recordFrameIntervals = False
