20.8146 	INFO 	Loaded monitor calibration from ['2024_08_09 11:02']
23.5748 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000018352C83BB0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000018352C83C10>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000018352C83DC0>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000018348C57EB0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1366,  768]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
23.5750 	EXP 	window1: backgroundImage = ''
23.5750 	EXP 	window1: backgroundFit = 'none'
23.5765 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000018352C83A90>
23.5768 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000018352C83A90>
23.5960 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000018352C83A90>
23.5980 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000018352C83A90>
23.7446 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000018352C83A90>
23.7449 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000018352C83A90>
23.7467 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000018352C83A90>
23.7484 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000018352C83A90>
23.8398 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
23.8399 	EXP 	window1: recordFrameIntervals = False
24.0533 	EXP 	window1: recordFrameIntervals = True
24.2374 	EXP 	Screen (0) actual frame rate measured at 59.89Hz
24.2375 	EXP 	window1: recordFrameIntervals = False
24.2377 	EXP 	window1: mouseVisible = True
26.1759 	INFO 	keyboard.Keyboard is using iohub backend.
26.1760 	EXP 	script: status = STARTED
26.1774 	EXP 	window1: mouseVisible = True
26.1964 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
26.1969 	EXP 	window1: mouseVisible = True
26.6359 	EXP 	Created target = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.10000000000000002, italic=False, languageStyle='LTR', name='target', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='T', units='height', win=Window(...), wrapWidth=1)
0.0116 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
0.0137 	EXP 	window1: mouseVisible = True
0.0347 	EXP 	Created distr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.10000000000000002, italic=False, languageStyle='LTR', name='distr', opacity=1, ori=78, pos=array([ 0.28095449, -0.03128664]), rgb=UNKNOWN, text='L', units='height', win=Window(...), wrapWidth=1)
0.0350 	EXP 	window1: mouseVisible = True
0.0406 	EXP 	Created distr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.10000000000000002, italic=False, languageStyle='LTR', name='distr', opacity=1, ori=131, pos=array([0.21759734, 0.27879384]), rgb=UNKNOWN, text='L', units='height', win=Window(...), wrapWidth=1)
0.0410 	EXP 	window1: mouseVisible = True
0.0460 	EXP 	Created distr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.10000000000000002, italic=False, languageStyle='LTR', name='distr', opacity=1, ori=247, pos=array([-0.09181264, -0.04280223]), rgb=UNKNOWN, text='L', units='height', win=Window(...), wrapWidth=1)
0.0463 	EXP 	window1: mouseVisible = True
0.0524 	EXP 	Created distr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.10000000000000002, italic=False, languageStyle='LTR', name='distr', opacity=1, ori=16, pos=array([-0.07167034, -0.10452112]), rgb=UNKNOWN, text='L', units='height', win=Window(...), wrapWidth=1)
0.0527 	EXP 	window1: mouseVisible = True
0.0579 	EXP 	Created distr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.10000000000000002, italic=False, languageStyle='LTR', name='distr', opacity=1, ori=290, pos=array([0.37928285, 0.2566318 ]), rgb=UNKNOWN, text='L', units='height', win=Window(...), wrapWidth=1)
0.0860 	EXP 	distr: autoDraw = True
0.0860 	EXP 	distr: autoDraw = True
0.0860 	EXP 	distr: autoDraw = True
0.0860 	EXP 	distr: autoDraw = True
0.0860 	EXP 	distr: autoDraw = True
0.0860 	EXP 	fixation: autoDraw = True
0.0860 	EXP 	target: autoDraw = True
1.1004 	EXP 	fixation: autoDraw = False
1.8562 	DATA 	Mouse: Left button down, pos=(1003,601)
1.8715 	EXP 	New trial (rep=1, index=0): <Trial 1 (0 in rep 1) data={'thisN': 1, 'thisTrialN': 0, 'thisRepN': 1}>
1.8726 	EXP 	window1: mouseVisible = True
1.8786 	EXP 	Created distr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.10000000000000002, italic=False, languageStyle='LTR', name='distr', opacity=1, ori=215, pos=array([-0.0306039 ,  0.40180965]), rgb=UNKNOWN, text='L', units='height', win=Window(...), wrapWidth=1)
1.8790 	EXP 	window1: mouseVisible = True
1.8857 	EXP 	Created distr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.10000000000000002, italic=False, languageStyle='LTR', name='distr', opacity=1, ori=340, pos=array([-0.058966  , -0.11128364]), rgb=UNKNOWN, text='L', units='height', win=Window(...), wrapWidth=1)
1.8861 	EXP 	window1: mouseVisible = True
1.8926 	EXP 	Created distr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.10000000000000002, italic=False, languageStyle='LTR', name='distr', opacity=1, ori=68, pos=array([ 0.02847388, -0.29443815]), rgb=UNKNOWN, text='L', units='height', win=Window(...), wrapWidth=1)
1.8929 	EXP 	window1: mouseVisible = True
1.8988 	EXP 	Created distr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.10000000000000002, italic=False, languageStyle='LTR', name='distr', opacity=1, ori=310, pos=array([-0.37124658, -0.24642199]), rgb=UNKNOWN, text='L', units='height', win=Window(...), wrapWidth=1)
1.8991 	EXP 	window1: mouseVisible = True
