isword,answer,key_resp.keys,key_resp.rt,,,,
,,,,,,,
0,left,left,0.9184836,,,,
1,right,right,0.6840672,,,,0.829433762
0,left,left,0.8682599,,,,1.148750529
1,right,right,0.8440954,,,,
1,right,right,0.7392791,,,,
1,right,right,1.0012658,,,,
1,right,right,0.8080746,,,,
0,left,left,1.5014286,,,,
1,right,right,1.3012646,,,,
1,right,right,0.6067283,,,,
1,right,right,0.6506951,,,,
0,left,left,2.4485935,,,,
0,left,left,0.8935859,,,,
0,left,left,0.7042757,,,,
0,left,left,0.7066265,,,,
