thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,fixation.stopped,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
14,0,14,[0.3606770833333333],[-0.07291666666666667],[1],[0],[0],[2.021180399984587],['target'],14,0,14,0,23.045672800042666,,5,23.029376700054854,23.045672800042666,23.045672800042666,0.028256200021132827,24.048822300042957,25.050973700010218,[0.3606770833333333],[-0.07291666666666667],[1],[0],[0],[2.021180399984587],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
15,0,15,[0.3307291666666667],[0.23046875],[1],[0],[0],[1.6476640999899246],['target'],15,0,15,0,25.14627880003536,,10,25.12017290003132,25.14627880003536,25.14627880003536,0.06899429997429252,26.149083800031804,26.76834550005151,[0.3307291666666667],[0.23046875],[1],[0],[0],[1.6476640999899246],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
16,0,16,[0.0703125],[0.4778645833333333],[1],[0],[0],[1.448883000004571],['target'],16,0,16,0,26.81900100002531,,5,26.80190900003072,26.81900100002531,26.81900100002531,0.03323709999676794,27.832433600036893,28.25139750004746,[0.0703125],[0.4778645833333333],[1],[0],[0],[1.448883000004571],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
17,0,17,[-0.22786458333333334],[-0.3346354166666667],[1],[0],[0],[1.795275299984496],['target'],17,0,17,0,28.347558500012383,,10,28.32197080005426,28.347558500012383,28.347558500012383,0.07036849996075034,29.3485367000103,30.117867200053297,[-0.22786458333333334],[-0.3346354166666667],[1],[0],[0],[1.795275299984496],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
18,0,18,[0.109375],[0.2877604166666667],[1],[0],[0],[1.1356479999958538],['target'],18,0,18,0,30.165215700049885,,5,30.149400900001638,30.165215700049885,30.165215700049885,0.031229700020048767,31.16544910002267,31.285728400049265,[0.109375],[0.2877604166666667],[1],[0],[0],[1.1356479999958538],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
19,0,19,[-0.23828125],[-0.4557291666666667],[1],[0],[0],[1.6988717999774963],[None],19,0,19,0,31.33641190000344,,5,31.31881660001818,31.33641190000344,31.33641190000344,0.03279629995813593,32.34837340004742,33.01827970001614,[-0.23828125],[-0.4557291666666667],[1],[0],[0],[1.6988717999774963],[None],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
20,0,20,[0.15234375],[0.16927083333333334],[1],[0],[0],[1.0939332999987528],['target'],20,0,20,0,33.1175016000052,,10,33.09056100004818,33.1175016000052,33.1175016000052,0.07206589996349066,34.1317895000102,34.18505060003372,[0.15234375],[0.16927083333333334],[1],[0],[0],[1.0939332999987528],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
21,0,21,[-0.22265625],[-0.11067708333333333],[1],[0],[0],[1.5167254999978468],['target'],21,0,21,0,34.23235200002091,,5,34.216967400047,34.23235200002091,34.23235200002091,0.031621000031009316,35.23185820004437,35.73431220004568,[-0.22265625],[-0.11067708333333333],[1],[0],[0],[1.5167254999978468],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
22,0,22,[-0.2604166666666667],[-0.22395833333333334],[1],[0],[0],[1.1042961000348441],['target'],22,0,22,0,35.778877300035674,,5,35.762716600031126,35.778877300035674,35.778877300035674,0.02820090000750497,36.78154100000393,36.86744810000528,[-0.2604166666666667],[-0.22395833333333334],[1],[0],[0],[1.1042961000348441],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
23,0,23,[0.0],[0.4244791666666667],[1],[0],[0],[1.437143900024239],['target'],23,0,23,0,36.912381700007245,,5,36.896502000046894,36.912381700007245,36.912381700007245,0.02885110001079738,37.91578820004361,38.33422400004929,[0.0],[0.4244791666666667],[1],[0],[0],[1.437143900024239],['target'],683392,001,2024-10-10_16h17.04.585,script,2024.2.1post4,59.89279190889549,2024-10-10 16h17.13.563138 +0530,
