17.4106 	INFO 	Loaded monitor calibration from ['2024_08_09 11:02']
19.9826 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002585A1B5CC0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002585A1B5C60>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002585A1B4880>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000002585A2547C0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1366,  768]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
19.9827 	EXP 	window1: backgroundImage = ''
19.9827 	EXP 	window1: backgroundFit = 'none'
19.9831 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002585A1B5DE0>
19.9834 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002585A1B5DE0>
19.9968 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002585A1B5DE0>
19.9987 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002585A1B5DE0>
20.1442 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002585A1B5DE0>
20.1445 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002585A1B5DE0>
20.1466 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002585A1B5DE0>
20.1484 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002585A1B5DE0>
20.2209 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
20.2210 	EXP 	window1: recordFrameIntervals = False
20.3997 	EXP 	window1: recordFrameIntervals = True
20.4878 	WARNING 	t of last frame was 21.62ms (=1/46)
20.6666 	EXP 	Screen (0) actual frame rate measured at 59.83Hz
20.6667 	EXP 	window1: recordFrameIntervals = False
20.6668 	EXP 	window1: mouseVisible = True
26.4616 	INFO 	keyboard.Keyboard is using iohub backend.
26.4617 	EXP 	word priming: status = STARTED
26.4627 	EXP 	window1: mouseVisible = True
26.5858 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
26.6339 	EXP 	window1: mouseVisible = True
26.6451 	EXP 	window1: mouseVisible = True
26.6454 	EXP 	window1: mouseVisible = True
26.6472 	EXP 	window1: mouseVisible = True
26.6489 	EXP 	window1: mouseVisible = True
26.6854 	EXP 	window1: mouseVisible = True
26.6856 	EXP 	window1: mouseVisible = True
26.6869 	EXP 	window1: mouseVisible = True
26.6881 	EXP 	window1: mouseVisible = True
26.7249 	EXP 	window1: mouseVisible = True
26.7251 	EXP 	window1: mouseVisible = True
26.7264 	EXP 	window1: mouseVisible = True
26.7277 	EXP 	window1: mouseVisible = True
26.7752 	EXP 	window1: mouseVisible = True
26.7755 	EXP 	window1: mouseVisible = True
26.7770 	EXP 	window1: mouseVisible = True
26.7785 	EXP 	window1: mouseVisible = True
26.8113 	EXP 	window1: mouseVisible = True
26.8337 	EXP 	window1: mouseVisible = True
