isword,answer,key_resp.keys,key_resp.rt,,,,
,,,,,,,
0,left,left,1.5980334,,,,0.760702463
1,right,right,1.2248393,,,,1.312700343
1,right,right,0.6327464,,,,
0,left,left,0.7886124,,,,
0,left,left,1.4227498,,,,
0,left,left,0.6148383,,,,
1,right,right,1.0663581,,,,
1,right,right,0.5381347,,,,
0,left,left,1.5606586,,,,
1,right,right,0.6314094,,,,
1,right,right,0.6535821,,,,
1,right,right,0.5818618,,,,
0,left,left,2.5345795,,,,
1,right,right,0.7566879,,,,
0,left,left,0.6694304,,,,
