15.1175 	INFO 	Loaded monitor calibration from ['2024_08_09 11:02']
17.1565 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000016878021C90>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000016878021C30>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000016878020880>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000168780C4790>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1366,  768]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
17.1566 	EXP 	window1: backgroundImage = ''
17.1566 	EXP 	window1: backgroundFit = 'none'
17.1570 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000016878021DB0>
17.1572 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000016878021DB0>
17.1638 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000016878021DB0>
17.1662 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000016878021DB0>
17.2619 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000016878021DB0>
17.2621 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000016878021DB0>
17.2636 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000016878021DB0>
17.2662 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000016878021DB0>
17.3271 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
17.3272 	EXP 	window1: recordFrameIntervals = False
17.4848 	EXP 	window1: recordFrameIntervals = True
17.6684 	EXP 	Screen (0) actual frame rate measured at 59.97Hz
17.6685 	EXP 	window1: recordFrameIntervals = False
17.6686 	EXP 	window1: mouseVisible = True
23.5868 	INFO 	keyboard.Keyboard is using iohub backend.
23.5868 	EXP 	word priming: status = STARTED
23.5874 	EXP 	window1: mouseVisible = True
