thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,fixation.stopped,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,[-0.3776041666666667],[0.010416666666666666],[1],[0],[0],[2.094256400014274],['target'],0,0,0,0,0.07903850002912804,,5,0.05365890002576634,0.07903850002912804,0.07903850002912804,0.05329780001193285,1.092475600016769,2.1486032000393607,[-0.3776041666666667],[0.010416666666666666],[1],[0],[0],[2.094256400014274],['target'],710056,001,2024-10-10_16h02.11.343,script,2024.2.1post4,59.871921998951926,2024-10-10 16h02.27.941815 +0530,
1,0,1,[0.08463541666666667],[0.4427083333333333],[1],[0],[0],[2.0809806000324897],['target'],1,0,1,0,2.2303920999984257,,10,2.203934199991636,2.2303920999984257,2.2303920999984257,0.05509929999243468,3.2413822000380605,4.285944900009781,[0.08463541666666667],[0.4427083333333333],[1],[0],[0],[2.0809806000324897],['target'],710056,001,2024-10-10_16h02.11.343,script,2024.2.1post4,59.871921998951926,2024-10-10 16h02.27.941815 +0530,
2,0,2,[0.13671875],[0.2825520833333333],[1],[0],[0],[1.0213320000329986],['target'],2,0,2,0,4.360553100006655,,10,4.336249599989969,4.360553100006655,4.360553100006655,0.05003049998776987,5.45541629998479,5.3582788000348955,[0.13671875],[0.2825520833333333],[1],[0],[0],[1.0213320000329986],['target'],710056,001,2024-10-10_16h02.11.343,script,2024.2.1post4,59.871921998951926,2024-10-10 16h02.27.941815 +0530,
3,0,3,[0.4986979166666667],[-0.21744791666666666],[1],[0],[0],[1.7070248000090942],['target'],3,0,3,0,5.45541629998479,,10,5.416480300016701,5.45541629998479,5.45541629998479,0.057861900015268475,6.45420690003084,7.1242569999885745,[0.4986979166666667],[-0.21744791666666666],[1],[0],[0],[1.7070248000090942],['target'],710056,001,2024-10-10_16h02.11.343,script,2024.2.1post4,59.871921998951926,2024-10-10 16h02.27.941815 +0530,
4,0,4,[0.4609375],[0.4153645833333333],[1],[0],[0],[2.344401900016237],['target'],4,0,4,0,7.219416400010232,,10,7.194617400004063,7.219416400010232,7.219416400010232,0.07005609996849671,8.224629900010768,9.539618499984499,[0.4609375],[0.4153645833333333],[1],[0],[0],[2.344401900016237],['target'],710056,001,2024-10-10_16h02.11.343,script,2024.2.1post4,59.871921998951926,2024-10-10 16h02.27.941815 +0530,
5,0,5,[0.4075520833333333],[-0.11328125],[1],[0],[0],[0.9522883000317961],[None],5,0,5,0,9.588022599986289,,5,9.571175699995365,9.588022599986289,9.588022599986289,0.031262699980288744,,10.524073300010059,[0.4075520833333333],[-0.11328125],[1],[0],[0],[0.9522883000317961],[None],710056,001,2024-10-10_16h02.11.343,script,2024.2.1post4,59.871921998951926,2024-10-10 16h02.27.941815 +0530,
6,0,6,[0.4322916666666667],[0.2955729166666667],[1],[0],[0],[2.0006032999954186],['target'],6,0,6,0,10.625130300002638,,10,10.596199400024489,10.625130300002638,10.625130300002638,0.07190039998386055,11.636907000036445,12.600608200009447,[0.4322916666666667],[0.2955729166666667],[1],[0],[0],[2.0006032999954186],['target'],710056,001,2024-10-10_16h02.11.343,script,2024.2.1post4,59.871921998951926,2024-10-10 16h02.27.941815 +0530,
7,0,7,[0.28515625],[0.005208333333333333],[1],[0],[0],[1.7570036000106484],['target'],7,0,7,0,12.650480700016487,,5,12.633097800018732,12.650480700016487,12.650480700016487,0.03210369998123497,13.653702799987514,14.390906299988274,[0.28515625],[0.005208333333333333],[1],[0],[0],[1.7570036000106484],['target'],710056,001,2024-10-10_16h02.11.343,script,2024.2.1post4,59.871921998951926,2024-10-10 16h02.27.941815 +0530,
8,0,8,[0.4440104166666667],[0.16145833333333334],[1],[0],[0],[2.2283537999610417],['target'],8,0,8,0,14.487382300023455,,10,14.461202600039542,14.487382300023455,14.487382300023455,0.07002199999988079,15.490705600008368,16.690255200024694,[0.4440104166666667],[0.16145833333333334],[1],[0],[0],[2.2283537999610417],['target'],710056,001,2024-10-10_16h02.11.343,script,2024.2.1post4,59.871921998951926,2024-10-10 16h02.27.941815 +0530,
9,0,9,[0.14713541666666666],[-0.048177083333333336],[1],[0],[0],[0.8894688000436872],['target'],9,0,9,0,16.7373131000204,,5,16.720729599997867,16.7373131000204,16.7373131000204,0.03016379999462515,,17.61095960001694,[0.14713541666666666],[-0.048177083333333336],[1],[0],[0],[0.8894688000436872],['target'],710056,001,2024-10-10_16h02.11.343,script,2024.2.1post4,59.871921998951926,2024-10-10 16h02.27.941815 +0530,
