17.8319 	INFO 	Loaded monitor calibration from ['2024_08_09 11:02']
20.1141 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000229CEF41C90>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000229CEF41C30>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000229CEF40880>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000229CEFE4790>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1366,  768]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
20.1143 	EXP 	window1: backgroundImage = ''
20.1143 	EXP 	window1: backgroundFit = 'none'
20.1148 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000229CEF41DB0>
20.1150 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000229CEF41DB0>
20.1248 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000229CEF41DB0>
20.1264 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000229CEF41DB0>
20.2496 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000229CEF41DB0>
20.2498 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000229CEF41DB0>
20.2518 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000229CEF41DB0>
20.2536 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000229CEF41DB0>
20.3218 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
20.3218 	EXP 	window1: recordFrameIntervals = False
20.5039 	EXP 	window1: recordFrameIntervals = True
20.6871 	EXP 	Screen (0) actual frame rate measured at 60.16Hz
20.6872 	EXP 	window1: recordFrameIntervals = False
20.6873 	EXP 	window1: mouseVisible = True
26.9229 	INFO 	keyboard.Keyboard is using iohub backend.
26.9230 	EXP 	word priming: status = STARTED
26.9240 	EXP 	window1: mouseVisible = True
27.0387 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
27.0866 	EXP 	window1: mouseVisible = True
27.0981 	EXP 	window1: mouseVisible = True
27.0983 	EXP 	window1: mouseVisible = True
27.1002 	EXP 	window1: mouseVisible = True
27.1017 	EXP 	window1: mouseVisible = True
27.1385 	EXP 	window1: mouseVisible = True
27.1388 	EXP 	window1: mouseVisible = True
27.1401 	EXP 	window1: mouseVisible = True
27.1414 	EXP 	window1: mouseVisible = True
27.1797 	EXP 	window1: mouseVisible = True
27.1799 	EXP 	window1: mouseVisible = True
27.1812 	EXP 	window1: mouseVisible = True
27.1825 	EXP 	window1: mouseVisible = True
27.2293 	EXP 	window1: mouseVisible = True
27.2296 	EXP 	window1: mouseVisible = True
27.2309 	EXP 	window1: mouseVisible = True
27.2323 	EXP 	window1: mouseVisible = True
27.2645 	EXP 	window1: mouseVisible = True
27.2875 	EXP 	window1: mouseVisible = True
27.3218 	EXP 	Created slider = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=-1, fillColor=None, flip=False, font='Open Sans', granularity=0.0, labelColor=None, labelHeight=0.05000000000000001, labelWrapWidth=None, labels=['Familiar', 'Unfamiliar'], lineColor=None, markerColor=None, name='slider', opacity=None, ori=0.0, pos=array([ 0. , -0.3]), readOnly=False, self=UNKNOWN, size=array([1. , 0.1]), startValue=None, style='rating', styleTweaks=[], ticks=array([1, 2, 3, 4, 5]), units='height', win=Window(...))
27.3221 	EXP 	window1: mouseVisible = True
27.3240 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1, ori=0.0, pos=array([0. , 0.3]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
27.3244 	EXP 	window1: mouseVisible = True
27.3247 	EXP 	window1: mouseVisible = True
27.3263 	EXP 	window1: mouseVisible = True
27.3277 	EXP 	window1: mouseVisible = True
27.3640 	EXP 	window1: mouseVisible = True
27.3643 	EXP 	window1: mouseVisible = True
27.3656 	EXP 	window1: mouseVisible = True
27.3676 	EXP 	window1: mouseVisible = True
27.4368 	EXP 	window1: mouseVisible = True
27.6073 	EXP 	Created text_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05000000000000001, italic=False, languageStyle='LTR', name='text_3', opacity=1, ori=0.0, pos=array([ 0. , -0.3]), rgb=UNKNOWN, text='Click to submit', units='height', win=Window(...), wrapWidth=1)
0.0047 	EXP 	slider: autoLog = True
0.0047 	EXP 	slider: styleTweaks = []
0.0047 	EXP 	slider: styleTweaks = []
0.0047 	EXP 	slider: styleTweaks = []
0.0047 	EXP 	slider: styleTweaks = []
0.0047 	EXP 	slider: contrast = 1.0
0.0047 	EXP 	slider: markerPos = None
0.0047 	EXP 	slider: autoLog = True
0.0047 	EXP 	textbox: autoLog = True
0.0204 	EXP 	Imported study_word.xlsx as conditions, 15 conditions, 1 params
0.0225 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'study_word': 'keys', 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
0.1041 	EXP 	text: height = 0.05000000000000001
0.1041 	EXP 	text: height = 0.05000000000000001
0.1041 	EXP 	text: height = 0.05000000000000001
0.1041 	EXP 	text: text = 'keys'
0.1041 	EXP 	slider: markerPos = None
0.1041 	EXP 	slider: markerPos = None
0.1041 	EXP 	text: autoDraw = True
0.1041 	EXP 	slider: autoDraw = True
3.4568 	DATA 	Mouse: Left button down, pos=(313,160)
3.4940 	EXP 	slider: markerPos = 1.0729166666666667
3.5106 	EXP 	slider: markerPos = 1.0729166666666667
3.5272 	EXP 	slider: markerPos = 1.0729166666666667
3.5443 	EXP 	slider: markerPos = 1.0729166666666667
3.5610 	EXP 	slider: markerPos = 1.0729166666666667
3.5746 	DATA 	Mouse:  Left button up, pos=(313,160)
3.5784 	EXP 	slider: markerPos = 1.0729166666666667
3.5952 	EXP 	slider: markerPos = 1.0729166666666667
3.5971 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'study_word': 'cushion', 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
3.6209 	EXP 	text: autoDraw = False
3.6209 	EXP 	slider: autoDraw = False
3.6209 	EXP 	text: height = 0.05000000000000001
3.6209 	EXP 	text: height = 0.05000000000000001
3.6209 	EXP 	text: height = 0.05000000000000001
3.6209 	EXP 	text: text = 'cushion'
3.6209 	EXP 	slider: markerPos = None
3.6209 	EXP 	slider: markerPos = None
3.6209 	EXP 	text: autoDraw = True
3.6209 	EXP 	slider: autoDraw = True
5.2918 	DATA 	Mouse: Left button down, pos=(1073,140)
5.3143 	EXP 	slider: markerPos = 5.03125
5.3336 	EXP 	slider: markerPos = 5.03125
5.3566 	EXP 	slider: markerPos = 5.03125
5.3786 	EXP 	slider: markerPos = 5.03125
5.4009 	EXP 	slider: markerPos = 5.03125
5.4178 	DATA 	Mouse:  Left button up, pos=(1073,140)
5.4224 	EXP 	slider: markerPos = 5.03125
5.4425 	EXP 	slider: markerPos = 5
5.4453 	EXP 	New trial (rep=0, index=2): <Trial 2 (2 in rep 0) data={'study_word': 'case', 'thisN': 2, 'thisTrialN': 2, 'thisRepN': 0}>
5.4722 	EXP 	text: autoDraw = False
5.4722 	EXP 	slider: autoDraw = False
5.4722 	EXP 	text: height = 0.05000000000000001
5.4722 	EXP 	text: height = 0.05000000000000001
5.4722 	EXP 	text: height = 0.05000000000000001
5.4722 	EXP 	text: text = 'case'
5.4722 	EXP 	slider: markerPos = None
5.4722 	EXP 	slider: markerPos = None
5.4722 	EXP 	text: autoDraw = True
5.4722 	EXP 	slider: autoDraw = True
6.4739 	DATA 	Mouse: Left button down, pos=(402,134)
6.4962 	EXP 	slider: markerPos = 1.5364583333333333
6.5135 	EXP 	slider: markerPos = 1.5364583333333333
6.5310 	EXP 	slider: markerPos = 1.5364583333333333
6.5484 	EXP 	slider: markerPos = 1.5364583333333333
6.5659 	EXP 	slider: markerPos = 1.5364583333333333
6.5835 	EXP 	slider: markerPos = 1.5364583333333333
6.6002 	EXP 	slider: markerPos = 1.5364583333333333
6.6172 	EXP 	slider: markerPos = 1.5364583333333333
6.6348 	EXP 	slider: markerPos = 1.5364583333333333
6.6488 	DATA 	Mouse:  Left button up, pos=(402,134)
6.6528 	EXP 	slider: markerPos = 1.5364583333333333
6.6701 	EXP 	slider: markerPos = 1.5364583333333333
6.6726 	EXP 	New trial (rep=0, index=3): <Trial 3 (3 in rep 0) data={'study_word': 'marble', 'thisN': 3, 'thisTrialN': 3, 'thisRepN': 0}>
6.6974 	EXP 	text: autoDraw = False
6.6974 	EXP 	slider: autoDraw = False
6.6974 	EXP 	text: height = 0.05000000000000001
6.6974 	EXP 	text: height = 0.05000000000000001
6.6974 	EXP 	text: height = 0.05000000000000001
6.6974 	EXP 	text: text = 'marble'
6.6974 	EXP 	slider: markerPos = None
6.6974 	EXP 	slider: markerPos = None
6.6974 	EXP 	text: autoDraw = True
6.6974 	EXP 	slider: autoDraw = True
7.4317 	DATA 	Mouse: Right button down, pos=(351,150)
7.5725 	DATA 	Mouse:  Right button up, pos=(351,150)
8.2149 	DATA 	Mouse: Right button down, pos=(338,153)
8.3568 	DATA 	Mouse:  Right button up, pos=(338,153)
9.0159 	DATA 	Mouse: Left button down, pos=(298,156)
9.0355 	EXP 	slider: markerPos = 0.9947916666666665
9.0574 	EXP 	slider: markerPos = 0.9947916666666665
9.0786 	EXP 	slider: markerPos = 0.9947916666666665
9.1004 	EXP 	slider: markerPos = 0.9947916666666665
9.1220 	EXP 	slider: markerPos = 0.9947916666666665
9.1255 	DATA 	Mouse:  Left button up, pos=(298,156)
9.1444 	EXP 	slider: markerPos = 1
9.1470 	EXP 	New trial (rep=0, index=4): <Trial 4 (4 in rep 0) data={'study_word': 'pastry', 'thisN': 4, 'thisTrialN': 4, 'thisRepN': 0}>
9.1739 	EXP 	text: autoDraw = False
9.1739 	EXP 	slider: autoDraw = False
9.1739 	EXP 	text: height = 0.05000000000000001
9.1739 	EXP 	text: height = 0.05000000000000001
9.1739 	EXP 	text: height = 0.05000000000000001
9.1739 	EXP 	text: text = 'pastry'
9.1739 	EXP 	slider: markerPos = None
9.1739 	EXP 	slider: markerPos = None
9.1739 	EXP 	text: autoDraw = True
9.1739 	EXP 	slider: autoDraw = True
10.2298 	DATA 	Mouse: Left button down, pos=(298,156)
10.2636 	EXP 	slider: markerPos = 0.9947916666666665
10.2813 	EXP 	slider: markerPos = 0.9947916666666665
10.2986 	EXP 	slider: markerPos = 0.9947916666666665
10.3159 	EXP 	slider: markerPos = 0.9947916666666665
10.3340 	EXP 	slider: markerPos = 0.9947916666666665
10.3517 	EXP 	slider: markerPos = 0.9947916666666665
10.3698 	EXP 	slider: markerPos = 0.9947916666666665
10.3717 	DATA 	Mouse:  Left button up, pos=(298,156)
10.3874 	EXP 	slider: markerPos = 1
