15.1854 	INFO 	Loaded monitor calibration from ['2024_08_09 11:02']
18.1360 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000015D4BE83BE0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000015D4BE83C40>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000015D4BE83DF0>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000015D41E57E80>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1366,  768]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
18.1361 	EXP 	window1: backgroundImage = ''
18.1362 	EXP 	window1: backgroundFit = 'none'
18.1366 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000015D4BE83AC0>
18.1369 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000015D4BE83AC0>
18.1484 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000015D4BE83AC0>
18.1506 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000015D4BE83AC0>
18.3233 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000015D4BE83AC0>
18.3236 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000015D4BE83AC0>
18.3256 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000015D4BE83AC0>
18.3275 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000015D4BE83AC0>
18.4139 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
18.4139 	EXP 	window1: recordFrameIntervals = False
18.6172 	EXP 	window1: recordFrameIntervals = True
18.7041 	WARNING 	t of last frame was 20.52ms (=1/48)
18.8846 	EXP 	Screen (0) actual frame rate measured at 59.87Hz
18.8846 	EXP 	window1: recordFrameIntervals = False
18.8848 	EXP 	window1: mouseVisible = True
28.8522 	INFO 	keyboard.Keyboard is using iohub backend.
28.8522 	EXP 	script: status = STARTED
28.8527 	EXP 	window1: mouseVisible = True
28.8662 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
28.8668 	EXP 	window1: mouseVisible = True
