16.6736 	INFO 	Loaded monitor calibration from ['2024_08_09 11:02']
19.0690 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000143C4DF3C40>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000143C4DF3CA0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000143C4DF3E50>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000143BADB7E20>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1366,  768]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
19.0692 	EXP 	window1: backgroundImage = ''
19.0692 	EXP 	window1: backgroundFit = 'none'
19.0696 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000143C4DF3B20>
19.0699 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000143C4DF3B20>
19.0834 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000143C4DF3B20>
19.0853 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000143C4DF3B20>
19.2413 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000143C4DF3B20>
19.2415 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000143C4DF3B20>
19.2436 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000143C4DF3B20>
19.2462 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000143C4DF3B20>
19.3854 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
19.3855 	EXP 	window1: recordFrameIntervals = False
19.6185 	EXP 	window1: recordFrameIntervals = True
