thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,fixation.stopped,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,[-0.34765625],[0.041666666666666664],[1],[0],[0],[2.3379072999814525],['target'],0,0,0,0,0.10208930005319417,,10,0.07448010001098737,0.10208930005319417,0.10208930005319417,0.07409330003429204,1.113123400020413,2.413016200007405,[-0.34765625],[0.041666666666666664],[1],[0],[0],[2.3379072999814525],['target'],033335,001,2024-10-10_16h28.07.971,script,2024.2.1post4,60.08795675630589,2024-10-10 16h28.22.150023 +0530,
1,0,1,[-0.3111979166666667],[-0.2825520833333333],[1],[0],[0],[0.9410179000115022],['target'],1,0,1,0,2.4564903000136837,,5,2.4413210000493564,2.4564903000136837,2.4564903000136837,0.028006100037600845,,3.3830106000532396,[-0.3111979166666667],[-0.2825520833333333],[1],[0],[0],[0.9410179000115022],['target'],033335,001,2024-10-10_16h28.07.971,script,2024.2.1post4,60.08795675630589,2024-10-10 16h28.22.150023 +0530,
2,0,2,[0.2838541666666667],[0.3984375],[1],[0],[0],[1.6334857000038028],['target'],2,0,2,0,3.477288300055079,,10,3.4481079000397585,3.477288300055079,3.477288300055079,0.06483960000332445,4.479667300009169,5.082279800029937,[0.2838541666666667],[0.3984375],[1],[0],[0],[1.6334857000038028],['target'],033335,001,2024-10-10_16h28.07.971,script,2024.2.1post4,60.08795675630589,2024-10-10 16h28.22.150023 +0530,
3,0,3,[-0.12369791666666667],[-0.12369791666666667],[1],[0],[0],[1.8828954999917187],['target'],3,0,3,0,5.1726815000292845,,10,5.148086200002581,5.1726815000292845,5.1726815000292845,0.06552659999579191,6.179683600028511,7.031665400019847,[-0.12369791666666667],[-0.12369791666666667],[1],[0],[0],[1.8828954999917187],['target'],033335,001,2024-10-10_16h28.07.971,script,2024.2.1post4,60.08795675630589,2024-10-10 16h28.22.150023 +0530,
4,0,4,[-0.19401041666666666],[0.3489583333333333],[1],[0],[0],[1.118610900011845],['target'],4,0,4,0,7.117351300024893,,10,7.095674000040162,7.117351300024893,7.117351300024893,0.0637163000064902,8.129779400012922,8.214929100009613,[-0.19401041666666666],[0.3489583333333333],[1],[0],[0],[1.118610900011845],['target'],033335,001,2024-10-10_16h28.07.971,script,2024.2.1post4,60.08795675630589,2024-10-10 16h28.22.150023 +0530,
5,0,5,[0.45703125],[0.14322916666666666],[1],[0],[0],[1.0508062999579124],['target'],5,0,5,0,8.303399900032673,,10,8.280865100037772,8.303399900032673,8.303399900032673,0.06565589999081567,9.31260410003597,9.332344700000249,[0.45703125],[0.14322916666666666],[1],[0],[0],[1.0508062999579124],['target'],033335,001,2024-10-10_16h28.07.971,script,2024.2.1post4,60.08795675630589,2024-10-10 16h28.22.150023 +0530,
6,0,6,[0.3658854166666667],[0.033854166666666664],[1],[0],[0],[2.0151220000116155],['target'],6,0,6,0,9.423679700004868,,10,9.399861400015652,9.423679700004868,9.423679700004868,0.06725530000403523,10.429533100046683,11.415674300049432,[0.3658854166666667],[0.033854166666666664],[1],[0],[0],[2.0151220000116155],['target'],033335,001,2024-10-10_16h28.07.971,script,2024.2.1post4,60.08795675630589,2024-10-10 16h28.22.150023 +0530,
7,0,7,[0.1328125],[0.13671875],[1],[0],[0],[1.310853200033307],['target'],7,0,7,0,11.492737400054466,,10,11.470755200018175,11.492737400054466,11.492737400054466,0.05480789998546243,12.496360000048298,12.782281100051478,[0.1328125],[0.13671875],[1],[0],[0],[1.310853200033307],['target'],033335,001,2024-10-10_16h28.07.971,script,2024.2.1post4,60.08795675630589,2024-10-10 16h28.22.150023 +0530,
8,0,8,[-0.010416666666666666],[-0.265625],[1],[0],[0],[1.3488883000100031],['target'],8,0,8,0,12.87222020002082,,10,12.8493429000373,12.87222020002082,12.87222020002082,0.0667826000135392,13.879093400028069,14.198857000039425,[-0.010416666666666666],[-0.265625],[1],[0],[0],[1.3488883000100031],['target'],033335,001,2024-10-10_16h28.07.971,script,2024.2.1post4,60.08795675630589,2024-10-10 16h28.22.150023 +0530,
9,0,9,[0.045572916666666664],[-0.078125],[1],[0],[0],[1.1148904000292532],['target'],9,0,9,0,14.271530500031076,,10,14.249028899997938,14.271530500031076,14.271530500031076,0.04992530000163242,15.279458500037435,15.364600800035987,[0.045572916666666664],[-0.078125],[1],[0],[0],[1.1148904000292532],['target'],033335,001,2024-10-10_16h28.07.971,script,2024.2.1post4,60.08795675630589,2024-10-10 16h28.22.150023 +0530,
