0.0185 	EXP 	slider: styleTweaks = []
0.0185 	EXP 	slider: styleTweaks = []
0.0185 	EXP 	slider: styleTweaks = []
0.0185 	EXP 	slider: styleTweaks = []
0.0185 	EXP 	slider: contrast = 1.0
0.0185 	EXP 	slider: markerPos = None
0.0185 	EXP 	slider: autoLog = True
0.0185 	EXP 	textbox: autoLog = True
0.0351 	EXP 	Imported study_word.xlsx as conditions, 15 conditions, 1 params
0.0385 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'study_word': 'keys', 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
0.1257 	EXP 	text: height = 0.05000000000000001
0.1257 	EXP 	text: height = 0.05000000000000001
0.1257 	EXP 	text: height = 0.05000000000000001
0.1257 	EXP 	text: text = 'keys'
0.1257 	EXP 	slider: markerPos = None
0.1257 	EXP 	slider: markerPos = None
0.1257 	EXP 	text: autoDraw = True
0.1257 	EXP 	slider: autoDraw = True
8.1391 	EXP 	text: autoDraw = False
34.2406 	DATA 	Mouse: Right button down, pos=(307,154)
34.3280 	DATA 	Mouse:  Right button up, pos=(307,154)
34.9398 	DATA 	Mouse: Right button down, pos=(307,154)
35.0734 	DATA 	Mouse:  Right button up, pos=(307,154)
35.8734 	DATA 	Mouse: Left button down, pos=(302,153)
35.8901 	EXP 	slider: markerPos = 1.015625
35.9066 	EXP 	slider: markerPos = 1.015625
35.9231 	EXP 	slider: markerPos = 1.015625
35.9394 	EXP 	slider: markerPos = 1.015625
35.9578 	EXP 	slider: markerPos = 1.015625
35.9744 	EXP 	slider: markerPos = 1.015625
35.9914 	EXP 	slider: markerPos = 1.015625
36.0050 	DATA 	Mouse:  Left button up, pos=(302,153)
36.0088 	EXP 	slider: markerPos = 1.015625
36.0253 	EXP 	slider: markerPos = 1.015625
36.0273 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'study_word': 'cruise', 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
36.0522 	EXP 	text: autoDraw = False
36.0522 	EXP 	slider: autoDraw = False
36.0522 	EXP 	text: height = 0.05000000000000001
36.0522 	EXP 	text: height = 0.05000000000000001
36.0522 	EXP 	text: height = 0.05000000000000001
36.0522 	EXP 	text: text = 'cruise'
36.0522 	EXP 	slider: markerPos = None
36.0522 	EXP 	slider: markerPos = None
36.0522 	EXP 	text: autoDraw = True
36.0522 	EXP 	slider: autoDraw = True
37.1738 	DATA 	Mouse: Left button down, pos=(363,155)
37.1898 	EXP 	slider: markerPos = 1.3333333333333333
37.2069 	EXP 	slider: markerPos = 1.3333333333333333
37.2243 	EXP 	slider: markerPos = 1.3333333333333333
37.2414 	EXP 	slider: markerPos = 1.3333333333333333
37.2593 	EXP 	slider: markerPos = 1.3333333333333333
37.2767 	EXP 	slider: markerPos = 1.3333333333333333
37.2939 	EXP 	slider: markerPos = 1.3333333333333333
37.3081 	DATA 	Mouse:  Left button up, pos=(363,155)
37.3118 	EXP 	slider: markerPos = 1.3333333333333333
37.3288 	EXP 	slider: markerPos = 1.3333333333333333
37.3307 	EXP 	New trial (rep=0, index=2): <Trial 2 (2 in rep 0) data={'study_word': 'book', 'thisN': 2, 'thisTrialN': 2, 'thisRepN': 0}>
37.3512 	EXP 	text: autoDraw = False
37.3512 	EXP 	slider: autoDraw = False
37.3512 	EXP 	text: height = 0.05000000000000001
37.3512 	EXP 	text: height = 0.05000000000000001
37.3512 	EXP 	text: height = 0.05000000000000001
37.3512 	EXP 	text: text = 'book'
37.3512 	EXP 	slider: markerPos = None
37.3512 	EXP 	slider: markerPos = None
37.3512 	EXP 	text: autoDraw = True
37.3512 	EXP 	slider: autoDraw = True
37.8406 	DATA 	Mouse: Left button down, pos=(363,155)
37.8564 	EXP 	slider: markerPos = 1.3333333333333333
37.8734 	EXP 	slider: markerPos = 1.3333333333333333
37.8908 	EXP 	slider: markerPos = 1.3333333333333333
37.9081 	EXP 	slider: markerPos = 1.3333333333333333
37.9255 	EXP 	slider: markerPos = 1.3333333333333333
37.9424 	EXP 	slider: markerPos = 1.3333333333333333
37.9605 	EXP 	slider: markerPos = 1.3333333333333333
37.9779 	EXP 	slider: markerPos = 1.3333333333333333
37.9923 	DATA 	Mouse:  Left button up, pos=(363,155)
37.9960 	EXP 	slider: markerPos = 1.3333333333333333
38.0136 	EXP 	slider: markerPos = 1.3333333333333333
38.0158 	EXP 	New trial (rep=0, index=3): <Trial 3 (3 in rep 0) data={'study_word': 'police', 'thisN': 3, 'thisTrialN': 3, 'thisRepN': 0}>
38.0392 	EXP 	text: autoDraw = False
38.0392 	EXP 	slider: autoDraw = False
38.0392 	EXP 	text: height = 0.05000000000000001
38.0392 	EXP 	text: height = 0.05000000000000001
38.0392 	EXP 	text: height = 0.05000000000000001
38.0392 	EXP 	text: text = 'police'
38.0392 	EXP 	slider: markerPos = None
38.0392 	EXP 	slider: markerPos = None
38.0392 	EXP 	text: autoDraw = True
38.0392 	EXP 	slider: autoDraw = True
38.4569 	DATA 	Mouse: Left button down, pos=(363,155)
38.4842 	EXP 	slider: markerPos = 1.3333333333333333
38.5064 	EXP 	slider: markerPos = 1.3333333333333333
38.5273 	EXP 	slider: markerPos = 1.3333333333333333
38.5492 	EXP 	slider: markerPos = 1.3333333333333333
38.5661 	DATA 	Mouse:  Left button up, pos=(363,155)
38.5706 	EXP 	slider: markerPos = 1.3333333333333333
38.5910 	EXP 	slider: markerPos = 1.3333333333333333
38.5934 	EXP 	New trial (rep=0, index=4): <Trial 4 (4 in rep 0) data={'study_word': 'chart', 'thisN': 4, 'thisTrialN': 4, 'thisRepN': 0}>
38.6218 	EXP 	text: autoDraw = False
38.6218 	EXP 	slider: autoDraw = False
38.6218 	EXP 	text: height = 0.05000000000000001
38.6218 	EXP 	text: height = 0.05000000000000001
38.6218 	EXP 	text: height = 0.05000000000000001
38.6218 	EXP 	text: text = 'chart'
38.6218 	EXP 	slider: markerPos = None
38.6218 	EXP 	slider: markerPos = None
38.6218 	EXP 	text: autoDraw = True
38.6218 	EXP 	slider: autoDraw = True
39.0702 	DATA 	Mouse: Left button down, pos=(331,156)
39.0899 	EXP 	slider: markerPos = 1.1666666666666667
39.1114 	EXP 	slider: markerPos = 1.1666666666666667
39.1332 	EXP 	slider: markerPos = 1.1666666666666667
39.1548 	EXP 	slider: markerPos = 1.1666666666666667
39.1763 	EXP 	slider: markerPos = 1.1666666666666667
39.1984 	EXP 	slider: markerPos = 1.1666666666666667
39.2197 	EXP 	slider: markerPos = 1.1666666666666667
39.2222 	DATA 	Mouse:  Left button up, pos=(331,156)
39.2418 	EXP 	slider: markerPos = 1.1666666666666667
39.2442 	EXP 	New trial (rep=0, index=5): <Trial 5 (5 in rep 0) data={'study_word': 'mouse', 'thisN': 5, 'thisTrialN': 5, 'thisRepN': 0}>
39.2692 	EXP 	text: autoDraw = False
39.2692 	EXP 	slider: autoDraw = False
39.2692 	EXP 	text: height = 0.05000000000000001
39.2692 	EXP 	text: height = 0.05000000000000001
39.2692 	EXP 	text: height = 0.05000000000000001
39.2692 	EXP 	text: text = 'mouse'
39.2692 	EXP 	slider: markerPos = None
39.2692 	EXP 	slider: markerPos = None
39.2692 	EXP 	text: autoDraw = True
39.2692 	EXP 	slider: autoDraw = True
40.2174 	DATA 	Mouse: Left button down, pos=(439,165)
40.2389 	EXP 	slider: markerPos = 1.7291666666666667
40.2554 	EXP 	slider: markerPos = 1.7291666666666667
40.2727 	EXP 	slider: markerPos = 1.7291666666666667
40.2900 	EXP 	slider: markerPos = 1.7291666666666667
40.3071 	EXP 	slider: markerPos = 1.7291666666666667
40.3242 	EXP 	slider: markerPos = 1.7291666666666667
40.3409 	EXP 	slider: markerPos = 1.7291666666666667
40.3580 	EXP 	slider: markerPos = 1.7291666666666667
40.3750 	EXP 	slider: markerPos = 1.7291666666666667
40.3891 	DATA 	Mouse:  Left button up, pos=(439,165)
40.3929 	EXP 	slider: markerPos = 1.7291666666666667
40.4096 	EXP 	slider: markerPos = 1.7291666666666667
40.4113 	EXP 	New trial (rep=0, index=6): <Trial 6 (6 in rep 0) data={'study_word': 'marble', 'thisN': 6, 'thisTrialN': 6, 'thisRepN': 0}>
40.4312 	EXP 	text: autoDraw = False
