delay,,,,,,condition,,,,,key_resp.rt,,,,,,,,
0.1,,,,,,exp,,,,,0.3376866,,,,,,,,
0.1,,,,,,exp,,,,,0.6032638,,,,,,,,
0.1,,,,,,exp,,,,,0.5497486,,,,,,,,
0.1,,,,,,exp,,,,,0.2949176,,,,,,,,
0.1,,,,,,exp,,,,,0.5599123,,,,,,,,
0.1,,,,,,exp,,,,,0.5601478,,,,,,,,
0.1,,,,,,exp,,,,,0.4686017,,,,,,,,
0.1,,,,,,exp,,,,,1.1605735,,,,,,,,
0.1,,,,,,exp,,,,,2.5714361,,,,,,,,
0.1,,,,,,exp,,,,,2.1931875,,,,,,,,
0.1,,,,,,exp,,,,,1.6212798,,,,,,,,
0.1,,,,,,exp,,,,,1.2905539,,,,,,,,
0.1,,,,,,exp,,,,,3.3448143,,,,,,,,
0.1,,,,,,exp,,,,,0.7187377,,,,,,,,
0.1,,,,,,exp,,,,,0.6842234,,,,,,,,
0.1,,,,,,exp,,,,,1.32332,,,,,,,,
0.1,,,,,,exp,,,,,0.2084467,,,,,,,,
0.1,,,,,,exp,,,,,7.034219,,,,,,,,
0.1,,,,,,exp,,,,,2.1790732,,,,,,,,
0.1,,,,,,exp,,,,,2.9142934,,,,,,,,
0.1,,,,,,exp,,,,,1.1654179,,,,,,,,
0.1,,,,,,exp,,,,,0.8455787,,,,,,,,
0.1,,,,,,exp,,,,,1.5644745,,,,,,,,
0.1,,,,,,exp,,,,,0.1068578,,,,,,,,
0.1,,,,,,exp,,,,,0.7085596,,,,,,,,
0.1,,,,,,exp,,,,,0.6086437,,,,,,,,
0.1,,,,,,exp,,,,,0.3111022,,,,,,,,
0.1,,,,,,exp,,,,,0.4560122,,,,,,,,
0.1,,,,,,exp,,,,,1.4838242,,,,,,,,
0.1,,,,,,exp,,,,,0.8105052,,,,,,,,
0.1,,,,,,exp,,,,,0.5002299,,,,,,,,
0.1,,,,,,exp,,,,,0.4144902,,,,,,,,
0.1,,,,,,exp,,,,,0.2485021,,,,,,,,
0.4,,,,,,exp,,,,,0.0770605,,,,,,,,
0.4,,,,,,exp,,,,,0.2751443,,,,,,,,
0.4,,,,,,exp,,,,,0.249642,,,,,,,,
0.4,,,,,,exp,,,,,0.4779329,,,,,,,,
0.4,,,,,,exp,,,,,0.5569991,,,,,,,,
0.4,,,,,,exp,,,,,0.24401,,,,,,,,
0.4,,,,,,exp,,,,,1.4286673,,,,,,,,
0.4,,,,,,exp,,,,,0.9251536,,,,,,,,
0.4,,,,,,exp,,,,,1.2203841,,,,,,,,
0.4,,,,,,exp,,,,,0.6266832,,,,,,,,
0.4,,,,,,exp,,,,,5.793018,,,,,,,,
0.4,,,,,,exp,,,,,10.2047368,,,,,,,,
0.4,,,,,,exp,,,,,0.2092755,,,,,,,,
0.4,,,,,,exp,,,,,0.6319506,,,,,,,,
0.4,,,,,,exp,,,,,0.3669031,,,,,,,,
0.4,,,,,,exp,,,,,0.3439425,,,,,,,,
0.4,,,,,,exp,,,,,0.6437096,,,,,,,,
0.4,,,,,,exp,,,,,0.3604015,,,,,,,,
0.4,,,,,,exp,,,,,1.0562622,,,,,,,,
0.4,,,,,,exp,,,,,0.3887255,,,,,,,,
0.4,,,,,,exp,,,,,2.0112738,,,,,,,,
0.4,,,,,,exp,,,,,2.4989369,,,,,,,,
0.4,,,,,,exp,,,,,0.8122551,,,,,,,,
0.4,,,,,,exp,,,,,1.1285534,,,,,,,,
0.4,,,,,,exp,,,,,1.6309468,,,,,,,,
0.4,,,,,,exp,,,,,1.0341542,,,,,,,,
0.4,,,,,,exp,,,,,0.9923552,,,,,,,,
0.4,,,,,,exp,,,,,0.3351864,,,,,,,,
0.4,,,,,,exp,,,,,0.2925608,,,,,,,,
0.4,,,,,,exp,,,,,0.3166166,,,,,,,,
0.4,,,,,,exp,,,,,0.2314166,,,,,,,,
0.4,,,,,,exp,,,,,1.02618,,,,,,,,
0.4,,,,,,exp,,,,,0.3841464,,,,,,,,
0.4,,,,,,exp,,,,,0.7382595,,,,,,,,
0.4,,,,,,exp,,,,,0.4395135,,,,,,,,
0.4,,,,,,exp,,,,,1.7856451,,,,,,,,
0.4,,,,,,exp,,,,,0.3941736,,,,,,,,
0.4,,,,,,exp,,,,,3.5312074,,,,,,,,
0.4,,,,,,exp,,,,,0.6453592,,,,,,,,
0.4,,,,,,exp,,,,,0.814436,,,,,,,,
0.4,,,,,,exp,,,,,0.730649,,,,,,,,
0.4,,,,,,exp,,,,,0.0807702,,,,,,,,
0.4,,,,,,exp,,,,,0.3289311,,,,,,,,
0.4,,,,,,exp,,,,,0.9139293,,,,,,,,
0.4,,,,,,exp,,,,,0.8032579,,,,,,,,
0.4,,,,,,exp,,,,,0.2048373,,,,,,,,
0.4,,,,,,exp,,,,,0.4262117,,,,,,,,
0.4,,,,,,exp,,,,,0.7626863,,,,,,,,
0.4,,,,,,exp,,,,,2.7775756,,,,,,,,
0.4,,,,,,exp,,,,,2.175817,,,,,,,,
0.4,,,,,,exp,,,,,0.6983768,,,,,,,,
0.4,,,,,,exp,,,,,0.776848,,,,,,,,
0.4,,,,,,exp,,,,,0.2746704,,,,,,,,
0.4,,,,,,exp,,,,,0.903921,,,,,,,,
0.4,,,,,,exp,,,,,2.4313463,,,,,,,,
0.4,,,,,,exp,,,,,1.8771357,,,,,,,,
0.4,,,,,,exp,,,,,0.5042779,,,,,,,,
0.4,,,,,,exp,,,,,1.4149436,,,,,,,,
0.4,,,,,,exp,,,,,0.5591817,,,,,,,,
0.4,,,,,,exp,,,,,0.8804826,,,,,,,,
0.4,,,,,,exp,,,,,0.4850546,,,,,,,,
0.4,,,,,,exp,,,,,1.0640078,,,,,,,,
0.4,,,,,,exp,,,,,0.5057371,,,,,,,,
0.4,,,,,,exp,,,,,0.5846462,,,,,,,,
